x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10]
,2008-05-05,0.042154989,0.024124626,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-05-06,0.042154989,0.024124626,0.042154989,0.052973207,0.078215715,0.107064296,0.121488587,0.150337168,0.190003967,0.218852548,None
,2008-05-07,0.042154989,0.024124626,0.042154989,0.052973207,0.078215715,0.107064296,0.121488587,0.150337168,0.190003967,0.218852548,None
,2008-05-08,0.042154989,0.024124626,0.042154989,0.052973207,0.078215715,0.107064296,0.121488587,0.150337168,0.190003967,0.218852548,None
,2008-05-09,0.042154989,0.024124626,0.042154989,0.052973207,0.078215715,0.107064296,0.121488587,0.150337168,0.190003967,0.218852548,None
,2008-05-12,0.042154989,0.024124626,0.042154989,0.052973207,0.078215715,0.107064296,0.121488587,0.150337168,0.190003967,0.218852548,None
,2008-05-13,0.042154989,0.024124626,0.045761062,0.05657928,0.081821788,0.110670369,0.132306805,0.164761458,0.193610039,0.218852548,None
,2008-05-14,0.045761062,0.034942844,0.045761062,0.05657928,0.081821788,0.110670369,0.132306805,0.164761458,0.193610039,0.218852548,None
,2008-05-15,0.045761062,0.067397497,0.045761062,0.05657928,0.081821788,0.110670369,0.132306805,0.164761458,0.193610039,0.218852548,None
,2008-05-16,0.045761062,0.067397497,0.045761062,0.05657928,0.081821788,0.110670369,0.132306805,0.164761458,0.193610039,0.218852548,None
,2008-05-19,0.045761062,0.067397497,0.045761062,0.05657928,0.081821788,0.110670369,0.132306805,0.164761458,0.193610039,0.218852548,None
,2008-05-20,0.045761062,0.078215715,0.045761062,0.05657928,0.081821788,0.110670369,0.132306805,0.164761458,0.193610039,0.218852548,None
,2008-05-21,0.045761062,0.078215715,0.052973207,0.063791425,0.089033933,0.117882514,0.13951895,0.171973604,0.200822185,0.226064693,None
,2008-05-22,0.045761062,0.078215715,0.052973207,0.063791425,0.089033933,0.117882514,0.13951895,0.171973604,0.200822185,0.226064693,None
,2008-05-23,0.045761062,0.078215715,0.052973207,0.063791425,0.089033933,0.117882514,0.13951895,0.171973604,0.200822185,0.226064693,None
,2008-05-26,0.045761062,0.078215715,0.052973207,0.063791425,0.089033933,0.117882514,0.13951895,0.171973604,0.200822185,0.226064693,None
,2008-05-27,0.045761062,0.078215715,0.052973207,0.063791425,0.089033933,0.117882514,0.13951895,0.171973604,0.200822185,0.226064693,None
,2008-05-28,0.045761062,0.078215715,0.052973207,0.063791425,0.089033933,0.117882514,0.13951895,0.171973604,0.200822185,0.226064693,None
,2008-05-29,0.045761062,0.078215715,0.052973207,0.063791425,0.089033933,0.117882514,0.13951895,0.171973604,0.200822185,0.226064693,None
,2008-05-30,0.045761062,0.078215715,0.052973207,0.063791425,0.089033933,0.117882514,0.13951895,0.171973604,0.200822185,0.226064693,None
,2008-06-02,0.045761062,0.078215715,0.060185352,0.07100357,0.096246078,0.125094659,0.146731095,0.179185749,0.20803433,0.233276838,None
,2008-06-03,0.045761062,0.078215715,0.067397497,0.078215715,0.103458224,0.132306805,0.15394324,0.186397894,0.215246475,0.240488983,None
,2008-06-04,0.045761062,0.078215715,0.067397497,0.078215715,0.103458224,0.132306805,0.15394324,0.186397894,0.215246475,0.240488983,None
,2008-06-05,0.045761062,0.078215715,0.067397497,0.078215715,0.103458224,0.132306805,0.15394324,0.186397894,0.215246475,0.240488983,None
,2008-06-06,0.045761062,0.078215715,0.067397497,0.078215715,0.103458224,0.132306805,0.15394324,0.186397894,0.215246475,0.240488983,None
,2008-06-09,0.045761062,0.078215715,0.067397497,0.078215715,0.103458224,0.132306805,0.15394324,0.186397894,0.215246475,0.240488983,None
,2008-06-10,0.045761062,0.078215715,0.067397497,0.078215715,0.103458224,0.132306805,0.15394324,0.186397894,0.215246475,0.240488983,None
,2008-06-11,0.045761062,0.078215715,0.067397497,0.078215715,0.103458224,0.132306805,0.15394324,0.186397894,0.215246475,0.240488983,None
,2008-06-12,0.045761062,0.078215715,0.067397497,0.078215715,0.103458224,0.132306805,0.15394324,0.186397894,0.215246475,0.240488983,None
,2008-06-13,0.045761062,0.060185352,0.067397497,0.078215715,0.103458224,0.132306805,0.15394324,0.186397894,0.215246475,0.240488983,None
,2008-06-16,0.045761062,0.060185352,0.031336771,0.042154989,0.067397497,0.096246078,0.117882514,0.150337168,0.179185749,0.204428257,None
